month,avg_debit
1,2.6570382022668712E-5
2,2.8298460510386435E-5
3,2.6615140146049254E-5
4,2.8512453141620832E-5
5,3.294732208519388E-5
6,3.1480520985853264E-5
7,2.1775591125916693E-5
8,1.4479187833501961E-5
9,1.4682075669005588E-5
10,1.975011389446145E-5
11,2.4372412306664958E-5
12,2.594686419580546E-5
