year,region,avg_conso_agri,avg_conso_indus,avg_conso_tert,avg_conso_resid,avg_conso_unknown,avg_conso,sum_conso_agri,sum_conso_indus,sum_conso_tert,sum_conso_resid,sum_conso_unknown,sum_conso
2012,Tarn-et-Garonne,0.8409328971870269,36.4168724357359,22.531224352915963,67.2169086193396,0.41657351225141986,127.4225118174299,0.8409328971870269,36.4168724357359,22.531224352915963,67.2169086193396,0.41657351225141986,127.4225118174299
2016,Ain,1.0550861582118936,164.90187749253525,68.80897281747919,203.51415814974797,2.570833063340916,440.8509276813152,1.0550861582118936,164.90187749253525,68.80897281747919,203.51415814974797,2.570833063340916,440.8509276813152
2019,Hautes-Alpes,0.014878686725573848,6.401626806867252,14.318399211115858,21.295362772753386,0.08584243060706724,42.116109908069134,0.014878686725573848,6.401626806867252,14.318399211115858,21.295362772753386,0.08584243060706724,42.116109908069134
2011,Ariege,0.5790669576166787,61.61871984147746,16.493865756066334,60.51261459206892,0.07302457752500867,139.2772917247544,0.5790669576166787,61.61871984147746,16.493865756066334,60.51261459206892,0.07302457752500867,139.2772917247544
2011,Savoie,0.478110215014678,149.1562533606891,42.89604849111691,114.42277753741278,2.257597138569308,309.2107867428028,0.478110215014678,149.1562533606891,42.89604849111691,114.42277753741278,2.257597138569308,309.2107867428028
2014,Eure,1.1694889594066515,405.03880358971054,143.17320937929546,367.46056609741146,4.004622794092297,920.8466908199164,1.1694889594066515,405.03880358971054,143.17320937929546,367.46056609741146,4.004622794092297,920.8466908199164
2014,Gironde,8.319415207383932,299.93006975165093,122.60651040355535,420.9311882818315,0.9377317514250374,852.7249153958468,8.319415207383932,299.93006975165093,122.60651040355535,420.9311882818315,0.9377317514250374,852.7249153958468
2015,Territoire de Belfort,0.2548795791473764,87.23669415159486,91.24121746651825,196.03181918084042,5.927811296943572,380.6924216750445,0.2548795791473764,87.23669415159486,91.24121746651825,196.03181918084042,5.927811296943572,380.6924216750445
2019,Cote-d'Or,7.754191917535769,306.54871121122903,335.2757184361166,501.49336728947304,0.3713666514588784,1151.4433555058133,7.754191917535769,306.54871121122903,335.2757184361166,501.49336728947304,0.3713666514588784,1151.4433555058133
2013,Territoire de Belfort,0.34754447416698375,101.35668950412142,100.3772276093586,228.39346148267438,6.405102804010096,436.88002587433147,0.34754447416698375,101.35668950412142,100.3772276093586,228.39346148267438,6.405102804010096,436.88002587433147
2016,Val-d'Oise,4.06284259344538,79.31448464867759,99.76090051672293,376.1121856228025,15.785336001951617,575.0357493836,4.06284259344538,79.31448464867759,99.76090051672293,376.1121856228025,15.785336001951617,575.0357493836
2018,Calvados,2.8539057610315566,499.13444702397646,237.66228971379817,420.0529409309215,0.15025093186218869,1159.8538343615899,2.8539057610315566,499.13444702397646,237.66228971379817,420.0529409309215,0.15025093186218869,1159.8538343615899
2019,Aude,1.0856358852791543,86.0135130081061,42.6886142245691,66.29386726859182,0.07626263297031864,196.1578930195165,1.0856358852791543,86.0135130081061,42.6886142245691,66.29386726859182,0.07626263297031864,196.1578930195165
2019,Indre-et-Loire,66.94130055029186,501.01630365928537,252.63151796609642,462.4208430308023,0.34883743072773765,1283.3588026372038,66.94130055029186,501.01630365928537,252.63151796609642,462.4208430308023,0.34883743072773765,1283.3588026372038
2012,Indre,0.08542721016575999,276.9586469890224,74.67118325657887,246.97240506072353,2.836261393220278,601.5239239097109,0.08542721016575999,276.9586469890224,74.67118325657887,246.97240506072353,2.836261393220278,601.5239239097109
2013,Vosges,0.6082067751749337,392.9673124428624,70.59557077063059,229.96303572444864,18.61235201862694,712.7464777317435,0.6082067751749337,392.9673124428624,70.59557077063059,229.96303572444864,18.61235201862694,712.7464777317435
2014,Pyrenees-Atlantiques,7.546423424906755,235.87674498192254,62.92617088474105,313.81898453244213,0.9084655861465547,621.076789410159,7.546423424906755,235.87674498192254,62.92617088474105,313.81898453244213,0.9084655861465547,621.076789410159
2015,Bas-Rhin,3.479370849448944,658.0094084403975,409.6242326253168,505.0173132068765,4.084869881567915,1580.2151950036077,3.479370849448944,658.0094084403975,409.6242326253168,505.0173132068765,4.084869881567915,1580.2151950036077
2015,Tarn,0.3285312126300075,129.79816372353847,28.65720443664344,119.4840483981722,4.097894334871501,282.3658421058556,0.3285312126300075,129.79816372353847,28.65720443664344,119.4840483981722,4.097894334871501,282.3658421058556
2016,Ariege,0.690499248076289,42.02767871207993,15.314796498540485,59.16068614007043,0.21675373831333225,117.41041433708047,0.690499248076289,42.02767871207993,15.314796498540485,59.16068614007043,0.21675373831333225,117.41041433708047
2015,Aude,1.6710133118353498,81.48508057847124,31.73729279543347,88.58219818034927,1.1868341592796212,204.66241902536896,1.6710133118353498,81.48508057847124,31.73729279543347,88.58219818034927,1.1868341592796212,204.66241902536896
2018,Ardennes,0.19868993686748807,200.63783215861085,54.43651788009813,153.48860024225328,0.04358371278121228,408.80522393061096,0.19868993686748807,200.63783215861085,54.43651788009813,153.48860024225328,0.04358371278121228,408.80522393061096
2018,Haute-Saone,0.10044747021429891,122.24867371582164,87.39976088812372,99.36422354884078,0.03066577225571416,309.1437713952562,0.10044747021429891,122.24867371582164,87.39976088812372,99.36422354884078,0.03066577225571416,309.1437713952562
2018,Vaucluse,9.235818699295761,220.0190215542492,93.46200061866296,112.44244649139335,0.0649483121544512,435.22423567575566,9.235818699295761,220.0190215542492,93.46200061866296,112.44244649139335,0.0649483121544512,435.22423567575566
