month,sum_debit
1,3033434.234
2,2945247.172999995
3,3043308.199999985
4,3162886.4270000034
5,3777608.1609999933
6,3495943.336000005
7,2497028.81
8,1660647.0110000083
9,1630048.087000006
10,2264350.5579999993
11,2700901.9870000086
12,2970422.960000005
