"annee","departement","region","filiere","agriculture","industrie","tertiaire","residentiel","inconnu","totale","habitant_region","habitant_departement"
2012,"Yonne","Bourgogne-Franche-Comte","Electricite",15977.81,556796.85,801153.52,1272214.99,943.68,2647086.85,2816814,341902
2012,"Yvelines","Ile-de-France","Electricite",8618.72,2011775.89,2691679.42,3945615.58,12266.06,8669955.67,11898502,1412356
2012,"Yvelines","Ile-de-France","Gaz",11564,2517974.79,1856074,6024787,195574,10605973.79,11898502,1412356
2013,"Ain","Auvergne-Rhone-Alpes","Gaz",9259,1501040.44,674212,1709914,14130,3908555.44,7757595,619497
2013,"Ain","Auvergne-Rhone-Alpes","Electricite",32234.43,1959306.83,1422818.94,2200496.29,35278.53,5650135.02,7757595,619497
2013,"Aisne","Hauts-de-France","Electricite",24021.49,1145310.17,635479.86,1607789.71,3113.02,3415714.25,5987883,540067
2013,"Aisne","Hauts-de-France","Gaz",7758,3405077.26,768826,1898577,97787,6178025.26,5987883,540067
2013,"Allier","Auvergne-Rhone-Alpes","Gaz",8418,1275780.65,378378,1398855,8932,3070363.65,7757595,343431
2013,"Allier","Auvergne-Rhone-Alpes","Electricite",22724.33,586391.15,476568.05,1228904.44,5242.5,2319830.47,7757595,343431
2013,"Alpes-de-Haute-Provence","Provence-Alpes-Cote d'Azur","Gaz",153,212553.3,80226,144683,624,438239.3,4953675,161916
2013,"Alpes-de-Haute-Provence","Provence-Alpes-Cote d'Azur","Electricite",12578.03,203617.15,294529.52,743782.04,859.66,1255366.4,4953675,161916
2013,"Alpes-Maritimes","Provence-Alpes-Cote d'Azur","Electricite",4043.49,437852.88,2244657.05,4369749.7,22005.12,7078308.24,4953675,1080771
2013,"Alpes-Maritimes","Provence-Alpes-Cote d'Azur","Gaz",10584,323354.01,975428,2749551,137281,4196198.01,4953675,1080771
2013,"Ardeche","Auvergne-Rhone-Alpes","Gaz",1285,626994.3,137488,474576,12340,1252683.3,7757595,320379
2013,"Ardeche","Auvergne-Rhone-Alpes","Electricite",5103.13,554219.98,322297.01,1196049.91,390,2078060.03,7757595,320379
2013,"Ardennes","Grand Est","Gaz",729,1053682.63,225254,1243825,7371,2530861.63,5552388,280907
2013,"Ardennes","Grand Est","Electricite",7411.37,1003087.26,261836.11,832026.18,101.02,2104461.94,5552388,280907
2013,"Ariege","Occitanie","Gaz",6683.41,283644.67,96809,400240,1285,788662.08,5683878,152684
2013,"Ariege","Occitanie","Electricite",3718.76,264832.28,163183.59,562676.3,5390.11,999801.04,5683878,152684
2013,"Aube","Grand Est","Electricite",32469.93,652354.17,403163.41,1062955.73,1841.57,2152784.81,5552388,306581
