year,region,department,avgTotalPower,sumTotalPower
2021,HAUTS DE FRANCE,PAS DE CALAIS,11.252077071428571,157.529079
2018,HAUTS DE FRANCE,SOMME,20.303,20.303
2021,NORMANDIE,ORNE,14.418999666666666,86.513998
2020,BRETAGNE,ILLE ET VILAINE,4.243181818181818,46.675000000000004
2021,BOURGOGNE FRANCHE COMTE,HAUTE SAONE,14.094663,14.094663
2019,NOUVELLE AQUITAINE,GIRONDE,12.249,24.498
2017,HAUTS DE FRANCE,PAS DE CALAIS,10.4175,20.835
2020,NOUVELLE AQUITAINE,CHARENTE,1.013,1.013
2021,BOURGOGNE FRANCHE COMTE,TERRITOIRE DE BELFORT,15.362318,15.362318
2020,GRAND EST,ARDENNES,9.169,9.169
2019,CENTRE VAL DE LOIRE,INDRE,5.198,10.396
2019,OCCITANIE,PYRENEES ORIENTALES,5.064,5.064
2017,HAUTS DE FRANCE,AISNE,14.083,14.083
2021,GRAND EST,MEUSE,10.834910666666667,32.504732000000004
2021,GRAND EST,MARNE,14.029073333333335,42.08722
2021,ILE DE FRANCE,SEINE ET MARNE,13.611386125,217.782178
2021,OCCITANIE,HERAULT,1.288977,1.288977
2021,AUVERGNE RHONE ALPES,AIN,5.479998166666667,32.879989
2017,PAYS DE LA LOIRE,MAINE ET LOIRE,7.005,7.005
2019,HAUTS DE FRANCE,PAS DE CALAIS,9.538,38.152
2019,GRAND EST,VOSGES,5.9305,11.861
2021,OCCITANIE,GERS,9.873665,9.873665
2016,GRAND EST,MOSELLE,2.682,5.364
2021,CENTRE VAL DE LOIRE,INDRE ET LOIRE,8.89978,17.79956
2020,GRAND EST,HAUT RHIN,0.822,0.822
2017,HAUTS DE FRANCE,SOMME,17.901,17.901
2019,PAYS DE LA LOIRE,VENDEE,9.434000000000001,47.17
2021,NOUVELLE AQUITAINE,CORREZE,1.114009,1.114009
2019,CENTRE VAL DE LOIRE,EURE ET LOIR,10.407,10.407
2020,BOURGOGNE FRANCHE COMTE,TERRITOIRE DE BELFORT,16.201,16.201
2018,GRAND EST,MEUSE,5.868,5.868
2021,AUVERGNE RHONE ALPES,ALLIER,4.1062449999999995,8.212489999999999
2021,BOURGOGNE FRANCHE COMTE,SAONE ET LOIRE,12.913583500000001,25.827167000000003
2020,BRETAGNE,COTES D ARMOR,14.7905,29.581
2021,BRETAGNE,ILLE ET VILAINE,5.320544119999999,133.013603
2017,ILE DE FRANCE,SEINE ET MARNE,9.435999999999998,66.05199999999999
2015,GRAND EST,AUBE,7.875,15.75
2018,BOURGOGNE FRANCHE COMTE,YONNE,10.863,10.863
2019,GRAND EST,MEUSE,6.9544999999999995,13.908999999999999
2021,ILE DE FRANCE,VAL D OISE,11.27249,11.27249
2020,BOURGOGNE FRANCHE COMTE,HAUTE SAONE,3.016,3.016
2018,GRAND EST,VOSGES,2.272,4.544
2018,ILE DE FRANCE,ESSONNE,1.124,1.124
2016,HAUTS DE FRANCE,SOMME,0.356,0.356
2019,BRETAGNE,FINISTERE,8.8775,35.51
2016,PAYS DE LA LOIRE,VENDEE,7.778,7.778
2020,PAYS DE LA LOIRE,MAINE ET LOIRE,9.536999999999999,28.610999999999997
2014,PAYS DE LA LOIRE,VENDEE,3.174,3.174
2020,NOUVELLE AQUITAINE,GIRONDE,12.750666666666667,38.252
2020,PROVENCE ALPES COTE D AZUR,BOUCHES DU RHONE,21.295,21.295
2021,BOURGOGNE FRANCHE COMTE,COTE D OR,6.5629610000000005,13.125922000000001
2021,PAYS DE LA LOIRE,LOIRE ATLANTIQUE,10.05842775,40.233711
2020,CENTRE VAL DE LOIRE,CHER,14.563250000000002,58.25300000000001
2019,NOUVELLE AQUITAINE,DEUX SEVRES,0.703,0.703
2021,PROVENCE ALPES COTE D AZUR,VAR,8.413540000000001,8.413540000000001
2020,NORMANDIE,ORNE,9.09,45.449999999999996
2019,CENTRE VAL DE LOIRE,CHER,12.601,37.803000000000004
2020,ILE DE FRANCE,YVELINES,4.004666666666666,12.014
2019,AUVERGNE RHONE ALPES,HAUTE LOIRE,2.835,2.835
2018,GRAND EST,MOSELLE,3.931,7.862
2016,AUVERGNE RHONE ALPES,ISERE,7.144,7.144
2018,BRETAGNE,ILLE ET VILAINE,3.8155,7.631
2021,HAUTS DE FRANCE,SOMME,8.68717225,34.748689
2018,OCCITANIE,TARN,2.569,2.569
2020,CENTRE VAL DE LOIRE,LOIRET,8.859,35.436
2020,HAUTS DE FRANCE,PAS DE CALAIS,11.123625,88.989
2019,CENTRE VAL DE LOIRE,LOIR ET CHER,6.339,6.339
2021,BRETAGNE,FINISTERE,6.954967777777777,62.59470999999999
2021,CENTRE VAL DE LOIRE,INDRE,12.071742666666665,36.215227999999996
2017,BOURGOGNE FRANCHE COMTE,YONNE,9.119,9.119
2013,GRAND EST,MOSELLE,0.311,0.311
2020,CENTRE VAL DE LOIRE,EURE ET LOIR,13.085,13.085
2021,NOUVELLE AQUITAINE,CHARENTE,9.429116,9.429116
2016,CENTRE VAL DE LOIRE,LOIRET,9.337,9.337
2019,BRETAGNE,MORBIHAN,8.259200000000002,41.29600000000001
2018,OCCITANIE,PYRENEES ORIENTALES,1.002,1.002
2021,BRETAGNE,COTES D ARMOR,12.6981566,63.490783
2020,BOURGOGNE FRANCHE COMTE,YONNE,9.55,19.1
2014,ILE DE FRANCE,SEINE ET MARNE,6.678666666666667,20.036
2016,ILE DE FRANCE,SEINE ET MARNE,11.008500000000002,44.034000000000006
2021,AUVERGNE RHONE ALPES,HAUTE LOIRE,7.448368,7.448368
2019,ILE DE FRANCE,ESSONNE,5.525,5.525
2020,PAYS DE LA LOIRE,MAYENNE,8.854,8.854
2021,BRETAGNE,MORBIHAN,9.70708157142857,67.94957099999999
2021,PAYS DE LA LOIRE,MAYENNE,6.244601499999999,12.489202999999998
2021,NOUVELLE AQUITAINE,DEUX SEVRES,14.376837,43.130511
2021,NORMANDIE,CALVADOS,25.416818,50.833636
2014,HAUTS DE FRANCE,NORD,5.833,5.833
2020,AUVERGNE RHONE ALPES,AIN,3.856,3.856
2021,NOUVELLE AQUITAINE,PYRENEES ATLANTIQUES,2.949433,11.797732
2020,OCCITANIE,TARN,8.415,16.83
2018,HAUTS DE FRANCE,OISE,9.413,37.652
2018,BOURGOGNE FRANCHE COMTE,TERRITOIRE DE BELFORT,13.347,13.347
2018,PAYS DE LA LOIRE,MAINE ET LOIRE,11.79,23.58
2019,PROVENCE ALPES COTE D AZUR,BOUCHES DU RHONE,19.454,19.454
2021,GRAND EST,HAUT RHIN,5.397487000000001,16.192461
2021,OCCITANIE,PYRENEES ORIENTALES,19.972078,39.944156
2018,GRAND EST,MARNE,13.971,13.971
2018,GRAND EST,AUBE,15.324666666666667,45.974000000000004
2013,HAUTS DE FRANCE,NORD,0.425,0.425
2021,GRAND EST,AUBE,17.354052714285718,121.47836900000001
2018,HAUTS DE FRANCE,NORD,5.246,10.492
