year,region,typology,avgTotalPower,sumTotalPower
2017,BRETAGNE,Agricole autonome,6.87,6.87
2019,BOURGOGNE FRANCHE COMTE,Agricole territorial,10.41,10.41
2018,AUVERGNE RHONE ALPES,Agricole territorial,5.501,5.501
2017,BOURGOGNE FRANCHE COMTE,Installation de stockage des déchets non dangereux (ISDND),9.119,9.119
2021,OCCITANIE,Installation de stockage des déchets non dangereux (ISDND),14.037354500000003,28.074709000000006
2017,AUVERGNE RHONE ALPES,Agricole autonome,1.0365,2.073
2020,BOURGOGNE FRANCHE COMTE,Agricole autonome,11.05,22.1
2021,OCCITANIE,Agricole autonome,6.998520500000001,41.991123
2018,ILE DE FRANCE,Agricole autonome,13.519,108.152
2015,HAUTS DE FRANCE,Déchets ménagers et biodéchets,3.4225,6.845
2021,OCCITANIE,Industriel territorial,35.230494,35.230494
2016,ILE DE FRANCE,Agricole autonome,11.008500000000002,44.034000000000006
2017,BRETAGNE,Agricole territorial,9.46,18.92
2019,ILE DE FRANCE,Installation de stockage des déchets non dangereux (ISDND),5.525,5.525
2020,CENTRE VAL DE LOIRE,Agricole autonome,11.826555555555556,106.43900000000001
2017,PAYS DE LA LOIRE,Agricole autonome,0.711,0.711
2018,AUVERGNE RHONE ALPES,Agricole autonome,3.585,7.17
2019,ILE DE FRANCE,Boues de stations d'épuration (STEP),0.317,0.634
2015,GRAND EST,Agricole territorial,7.875,15.75
2014,GRAND EST,Déchets ménagers et biodéchets,2.946,2.946
2018,BOURGOGNE FRANCHE COMTE,Agricole autonome,13.347,13.347
2018,ILE DE FRANCE,Agricole territorial,0.384,0.384
2018,OCCITANIE,Installation de stockage des déchets non dangereux (ISDND),3.908,3.908
2021,CENTRE VAL DE LOIRE,Installation de stockage des déchets non dangereux (ISDND),14.669647999999999,29.339295999999997
2018,BRETAGNE,Installation de stockage des déchets non dangereux (ISDND),2.161,2.161
2020,AUVERGNE RHONE ALPES,Boues de stations d'épuration (STEP),9.027833333333334,54.167
2017,HAUTS DE FRANCE,Agricole autonome,9.3895,18.779
2019,BOURGOGNE FRANCHE COMTE,Installation de stockage des déchets non dangereux (ISDND),8.986,8.986
2018,ILE DE FRANCE,Installation de stockage des déchets non dangereux (ISDND),1.124,1.124
2020,PAYS DE LA LOIRE,Agricole autonome,6.199333333333333,55.794
2021,ILE DE FRANCE,Agricole autonome,14.172336375,226.757382
2020,BRETAGNE,Installation de stockage des déchets non dangereux (ISDND),12.092,24.184
2019,NOUVELLE AQUITAINE,Agricole territorial,7.536499999999999,15.072999999999999
2020,ILE DE FRANCE,Agricole autonome,15.064666666666668,180.776
2017,ILE DE FRANCE,Agricole autonome,9.435999999999998,66.05199999999999
2020,NOUVELLE AQUITAINE,Agricole territorial,14.257833333333332,85.547
2021,BRETAGNE,Industriel territorial,31.872393,63.744786
2018,PAYS DE LA LOIRE,Boues de stations d'épuration (STEP),15.259,15.259
2020,BRETAGNE,Agricole territorial,7.309,29.236
2020,HAUTS DE FRANCE,Industriel territorial,4.007,4.007
2019,HAUTS DE FRANCE,Installation de stockage des déchets non dangereux (ISDND),13.578,13.578
2015,HAUTS DE FRANCE,Agricole autonome,4.308,8.616
2020,BRETAGNE,Agricole autonome,4.466625,71.466
2013,ILE DE FRANCE,Agricole autonome,3.717,3.717
2020,PROVENCE ALPES COTE D AZUR,Industriel territorial,7.49,7.49
2016,HAUTS DE FRANCE,Agricole territorial,2.622,5.244
2019,NOUVELLE AQUITAINE,Agricole autonome,12.249,24.498
2021,NOUVELLE AQUITAINE,Agricole territorial,15.541556200000002,155.41556200000002
2017,AUVERGNE RHONE ALPES,Agricole territorial,3.432,3.432
2017,HAUTS DE FRANCE,Agricole territorial,12.346666666666666,37.04
2020,BOURGOGNE FRANCHE COMTE,Installation de stockage des déchets non dangereux (ISDND),13.201,13.201
2018,PAYS DE LA LOIRE,Agricole territorial,6.112,12.224
2021,GRAND EST,Industriel territorial,1.81828,1.81828
2013,GRAND EST,Déchets ménagers et biodéchets,0.311,0.311
2020,GRAND EST,Déchets ménagers et biodéchets,2.641,2.641
2021,HAUTS DE FRANCE,Installation de stockage des déchets non dangereux (ISDND),14.534155,29.06831
2021,HAUTS DE FRANCE,Industriel territorial,6.682062,6.682062
2017,CENTRE VAL DE LOIRE,Agricole autonome,14.219,14.219
2021,BRETAGNE,Installation de stockage des déchets non dangereux (ISDND),13.00253,26.00506
2014,HAUTS DE FRANCE,Déchets ménagers et biodéchets,5.833,5.833
2016,CENTRE VAL DE LOIRE,Agricole autonome,9.337,9.337
2016,AUVERGNE RHONE ALPES,Boues de stations d'épuration (STEP),7.144,7.144
2019,AUVERGNE RHONE ALPES,Agricole autonome,3.4939999999999998,10.482
2018,CENTRE VAL DE LOIRE,Boues de stations d'épuration (STEP),9.879,9.879
2021,BRETAGNE,Agricole territorial,10.855783000000002,65.13469800000001
2017,HAUTS DE FRANCE,Déchets ménagers et biodéchets,8.913499999999999,17.826999999999998
2020,GRAND EST,Agricole autonome,6.765312500000001,108.24500000000002
2020,CENTRE VAL DE LOIRE,Agricole territorial,6.603666666666666,19.811
2020,PROVENCE ALPES COTE D AZUR,Boues de stations d'épuration (STEP),14.466000000000001,28.932000000000002
2017,PAYS DE LA LOIRE,Agricole territorial,8.348,8.348
2019,BRETAGNE,Agricole autonome,4.265142857142856,29.855999999999995
2021,NOUVELLE AQUITAINE,Agricole autonome,8.4432236,84.43223599999999
2020,ILE DE FRANCE,Installation de stockage des déchets non dangereux (ISDND),4.186,4.186
2019,ILE DE FRANCE,Agricole autonome,14.785777777777778,133.072
2021,AUVERGNE RHONE ALPES,Boues de stations d'épuration (STEP),7.575692142857142,53.029844999999995
2019,AUVERGNE RHONE ALPES,Agricole territorial,5.147333333333333,15.442
2021,PAYS DE LA LOIRE,Agricole territorial,14.206136444444446,127.85522800000001
2020,PAYS DE LA LOIRE,Boues de stations d'épuration (STEP),14.016,14.016
2019,PROVENCE ALPES COTE D AZUR,Boues de stations d'épuration (STEP),12.574,25.148
2016,BOURGOGNE FRANCHE COMTE,Agricole autonome,6.994,6.994
2016,HAUTS DE FRANCE,Agricole autonome,8.57,17.14
2019,BRETAGNE,Boues de stations d'épuration (STEP),5.643,5.643
2015,AUVERGNE RHONE ALPES,Agricole autonome,0.481,0.481
2021,CENTRE VAL DE LOIRE,Agricole territorial,12.959689999999998,51.83875999999999
2021,BRETAGNE,Agricole autonome,4.769489028571427,166.93211599999995
2020,ILE DE FRANCE,Agricole territorial,0.628,0.628
2016,PAYS DE LA LOIRE,Agricole territorial,7.778,7.778
2017,BRETAGNE,Boues de stations d'épuration (STEP),1.505,1.505
2018,BRETAGNE,Agricole territorial,14.310500000000001,28.621000000000002
2020,GRAND EST,Industriel territorial,0.0,0.0
2021,NOUVELLE AQUITAINE,Déchets ménagers et biodéchets,19.595401000000003,19.595401000000003
2015,PAYS DE LA LOIRE,Agricole territorial,5.955,5.955
2020,NOUVELLE AQUITAINE,Déchets ménagers et biodéchets,7.255,7.255
2020,HAUTS DE FRANCE,Agricole territorial,13.944600000000003,139.44600000000003
2014,PAYS DE LA LOIRE,Agricole territorial,3.174,3.174
2020,CENTRE VAL DE LOIRE,Installation de stockage des déchets non dangereux (ISDND),12.3585,24.717
2018,HAUTS DE FRANCE,Agricole territorial,12.065000000000001,60.325
2020,OCCITANIE,Agricole autonome,14.697,14.697
2019,CENTRE VAL DE LOIRE,Installation de stockage des déchets non dangereux (ISDND),11.438500000000001,22.877000000000002
2018,HAUTS DE FRANCE,Installation de stockage des déchets non dangereux (ISDND),11.718,11.718
2017,CENTRE VAL DE LOIRE,Boues de stations d'épuration (STEP),9.648,9.648
2021,CENTRE VAL DE LOIRE,Boues de stations d'épuration (STEP),8.438013999999999,8.438013999999999
2017,GRAND EST,Agricole territorial,10.39075,41.563
2020,GRAND EST,Agricole territorial,15.861571428571427,111.03099999999999
2016,BRETAGNE,Agricole autonome,6.302,6.302
2020,PAYS DE LA LOIRE,Agricole territorial,15.352166666666667,92.113
2020,NORMANDIE,Agricole autonome,8.191833333333333,49.150999999999996
2019,BRETAGNE,Industriel territorial,16.953,16.953
2017,AUVERGNE RHONE ALPES,Boues de stations d'épuration (STEP),9.995,29.985
2018,AUVERGNE RHONE ALPES,Boues de stations d'épuration (STEP),8.3865,33.546
2020,BOURGOGNE FRANCHE COMTE,Agricole territorial,9.4785,18.957
2015,BOURGOGNE FRANCHE COMTE,Agricole autonome,2.055,2.055
2019,AUVERGNE RHONE ALPES,Boues de stations d'épuration (STEP),7.016166666666666,42.096999999999994
2021,ILE DE FRANCE,Boues de stations d'épuration (STEP),7.729735666666667,23.189207
2019,OCCITANIE,Boues de stations d'épuration (STEP),3.309,6.618
2020,HAUTS DE FRANCE,Installation de stockage des déchets non dangereux (ISDND),9.156,18.312
2021,BOURGOGNE FRANCHE COMTE,Installation de stockage des déchets non dangereux (ISDND),15.700721,15.700721
2017,PAYS DE LA LOIRE,Boues de stations d'épuration (STEP),7.005,7.005
2020,NOUVELLE AQUITAINE,Agricole autonome,13.113,39.339
2021,PAYS DE LA LOIRE,Agricole autonome,9.083795249999998,109.00554299999997
2015,BRETAGNE,Agricole autonome,1.405,1.405
2018,NOUVELLE AQUITAINE,Agricole autonome,5.039,10.078
2021,PAYS DE LA LOIRE,Boues de stations d'épuration (STEP),9.351948,28.055844
2020,AUVERGNE RHONE ALPES,Agricole autonome,3.6606666666666663,21.964
2021,NOUVELLE AQUITAINE,Boues de stations d'épuration (STEP),4.833059,4.833059
