month,year,sum_debit
1,1936,18718.656
2,1936,15381.569
3,1936,6258.371
4,1936,8851.005000000001
5,1936,6323.798999999999
6,1936,5539.058000000001
7,1936,6535.253000000001
8,1936,4638.212999999999
9,1936,2387.5239999999994
10,1936,1925.0690000000004
11,1936,6457.303999999999
12,1936,4377.849999999999
1,1937,5806.988
2,1937,17453.138
3,1937,19305.671000000002
4,1937,11807.729999999998
5,1937,6644.225
6,1937,3122.4210000000003
7,1937,1221.4579999999996
8,1937,666.6890000000001
9,1937,2313.4280000000003
10,1937,3183.2480000000005
11,1937,4595.5830000000005
12,1937,10389.155000000002
1,1938,10561.229
2,1938,7416.906
3,1938,3758.815
4,1938,1449.27
5,1938,2265.174
6,1938,1889.5720000000001
7,1938,2827.9230000000002
8,1938,1761.9950000000001
9,1938,2103.3979999999997
10,1938,3647.0969999999998
11,1938,5014.161999999999
12,1938,6865.357000000001
1,1939,17383.747
2,1939,6879.762999999999
3,1939,9362.951000000003
4,1939,10092.916
5,1939,9061.95
6,1939,3021.2259999999997
7,1939,2905.743
8,1939,2215.278
9,1939,1759.181
10,1939,6445.477
11,1939,14667.106
12,1939,10091.224
1,1940,5680.542000000002
2,1940,11782.379999999997
3,1940,7044.373
4,1940,10786.093999999997
5,1940,12867.233
6,1940,4215.398
7,1940,4578.159000000001
8,1940,1218.874
9,1940,3964.619
10,1940,4983.704
11,1940,9688.105
12,1940,12269.312000000002
1,1941,17897.797000000002
2,1941,15476.474
3,1941,12149.335000000001
4,1941,9830.468
5,1941,7640.79
6,1941,7992.1810000000005
7,1941,1641.6650000000002
8,1941,3163.3740000000003
9,1941,1442.9859999999999
10,1941,1541.6329999999998
11,1941,5445.787
12,1941,4316.787
1,1942,5517.695
2,1942,6502.415999999999
3,1942,16344.549999999997
4,1942,5098.347000000001
5,1942,2887.4130000000005
6,1942,3181.8330000000005
7,1942,1161.059
8,1942,697.347
9,1942,1465.7869999999996
10,1942,2289.024
11,1942,4181.057
12,1942,2894.459
1,1943,12314.296999999999
2,1943,7420.319000000001
3,1943,3168.504
4,1943,2625.116
5,1943,2542.2909999999997
6,1943,1847.694
7,1943,1325.114
8,1943,611.6679999999999
9,1943,1564.5449999999998
10,1943,3824.2419999999997
11,1943,6192.929
12,1943,8434.969
1,1944,4769.025999999999
2,1944,5511.161
3,1944,5549.0019999999995
4,1944,4954.143
5,1944,1297.1280000000002
6,1944,687.1789999999999
7,1944,1849.8720000000003
8,1944,2467.417
9,1944,4638.382999999999
10,1944,11595.206
11,1944,22114.162999999997
12,1944,21222.177
1,1945,5576.95
2,1945,18131.57
3,1945,4925.610000000001
4,1945,2320.92
5,1945,2024.9299999999998
6,1945,832.49
7,1945,488.03999999999996
8,1945,628.64
9,1945,1139.2800000000002
10,1945,1064.4
11,1945,1862.26
12,1945,5836.290000000001
1,1946,3843.3159999999993
2,1946,7777.497
3,1946,5286.737
4,1946,2037.704
5,1946,4259.086000000001
6,1946,5459.652
7,1946,1131.2819999999997
8,1946,1051.365
9,1946,2229.8999999999996
10,1946,1032.916
11,1946,2099.728
12,1946,4887.7
1,1947,6889.122999999998
2,1947,5171.955
3,1947,13547.283
4,1947,6967.562999999999
5,1947,2670.891
6,1947,1431.554
7,1947,848.111
8,1947,555.678
9,1947,314.54
