year,region,department,typology,avgTotalPower,sumTotalPower
2021,BOURGOGNE FRANCHE COMTE,SAONE ET LOIRE,Agricole territorial,15.843504000000001,15.843504000000001
2019,ILE DE FRANCE,ESSONNE,Installation de stockage des déchets non dangereux (ISDND),5.525,5.525
2015,HAUTS DE FRANCE,NORD,Agricole autonome,5.038,5.038
2021,NORMANDIE,ORNE,Installation de stockage des déchets non dangereux (ISDND),16.496525000000002,16.496525000000002
2020,HAUTS DE FRANCE,NORD,Déchets ménagers et biodéchets,3.122,3.122
2021,GRAND EST,HAUTE MARNE,Agricole autonome,8.52799825,34.111993
2020,OCCITANIE,PYRENEES ORIENTALES,Boues de stations d'épuration (STEP),3.805,3.805
2018,BRETAGNE,MORBIHAN,Installation de stockage des déchets non dangereux (ISDND),2.161,2.161
2019,HAUTS DE FRANCE,PAS DE CALAIS,Agricole autonome,9.012333333333332,27.037
2019,GRAND EST,MOSELLE,Boues de stations d'épuration (STEP),0.05,0.05
2019,GRAND EST,BAS RHIN,Agricole territorial,12.105,12.105
2013,HAUTS DE FRANCE,NORD,Déchets ménagers et biodéchets,0.425,0.425
2017,CENTRE VAL DE LOIRE,LOIRET,Agricole autonome,14.219,14.219
2019,BRETAGNE,MORBIHAN,Agricole territorial,9.827,9.827
2021,BOURGOGNE FRANCHE COMTE,YONNE,Installation de stockage des déchets non dangereux (ISDND),15.700721,15.700721
2020,BRETAGNE,COTES D ARMOR,Agricole autonome,1.998,1.998
2020,GRAND EST,MOSELLE,Boues de stations d'épuration (STEP),1.222,1.222
2019,ILE DE FRANCE,YVELINES,Agricole territorial,0.195,0.195
2016,AUVERGNE RHONE ALPES,ALLIER,Agricole autonome,0.955,0.955
2021,PAYS DE LA LOIRE,VENDEE,Agricole autonome,9.0922435,36.368974
2020,ILE DE FRANCE,YVELINES,Agricole territorial,0.628,0.628
2019,PROVENCE ALPES COTE D AZUR,VAR,Boues de stations d'épuration (STEP),5.694,5.694
2017,AUVERGNE RHONE ALPES,HAUTE SAVOIE,Agricole territorial,3.432,3.432
2018,AUVERGNE RHONE ALPES,HAUTE SAVOIE,Agricole autonome,5.85,5.85
2019,PROVENCE ALPES COTE D AZUR,BOUCHES DU RHONE,Boues de stations d'épuration (STEP),19.454,19.454
