year,region,department,typology,avgTotalPower,sumTotalPower
2021,OCCITANIE,HERAULT,Agricole autonome,1.288977,1.288977
2021,BRETAGNE,ILLE ET VILAINE,Agricole territorial,14.3494235,28.698847
2018,GRAND EST,MEUSE,Agricole autonome,5.868,5.868
2021,CENTRE VAL DE LOIRE,LOIRET,Installation de stockage des déchets non dangereux (ISDND),11.87716,11.87716
2019,GRAND EST,HAUTE MARNE,Agricole territorial,14.878,14.878
2019,CENTRE VAL DE LOIRE,LOIRET,Agricole autonome,11.232,22.464
2020,AUVERGNE RHONE ALPES,ISERE,Agricole territorial,13.872,13.872
2021,NOUVELLE AQUITAINE,HAUTE VIENNE,Agricole autonome,0.687844,0.687844
2019,BOURGOGNE FRANCHE COMTE,YONNE,Installation de stockage des déchets non dangereux (ISDND),8.986,8.986
2021,AUVERGNE RHONE ALPES,ALLIER,Agricole autonome,4.1062449999999995,8.212489999999999
2021,HAUTS DE FRANCE,SOMME,Agricole autonome,5.505571333333333,16.516714
2020,BRETAGNE,COTES D ARMOR,Industriel territorial,27.583,27.583
2019,BRETAGNE,FINISTERE,Boues de stations d'épuration (STEP),5.643,5.643
2016,ILE DE FRANCE,SEINE ET MARNE,Agricole autonome,11.008500000000002,44.034000000000006
2020,NOUVELLE AQUITAINE,CHARENTE MARITIME,Agricole territorial,12.009,12.009
2017,ILE DE FRANCE,SEINE ET MARNE,Agricole autonome,9.435999999999998,66.05199999999999
2018,GRAND EST,HAUTE MARNE,Agricole territorial,14.293,14.293
2020,OCCITANIE,HAUTE GARONNE,Installation de stockage des déchets non dangereux (ISDND),15.436,15.436
2020,AUVERGNE RHONE ALPES,HAUTE LOIRE,Agricole autonome,7.525,7.525
2018,HAUTS DE FRANCE,PAS DE CALAIS,Déchets ménagers et biodéchets,10.89,10.89
2020,HAUTS DE FRANCE,PAS DE CALAIS,Agricole territorial,2.507,2.507
2016,HAUTS DE FRANCE,AISNE,Agricole territorial,4.888,4.888
2021,PROVENCE ALPES COTE D AZUR,BOUCHES DU RHONE,Boues de stations d'épuration (STEP),27.095950000000002,27.095950000000002
2020,CENTRE VAL DE LOIRE,LOIRET,Installation de stockage des déchets non dangereux (ISDND),8.903,8.903
2018,BRETAGNE,ILLE ET VILAINE,Agricole autonome,3.8155,7.631
2019,AUVERGNE RHONE ALPES,LOIRE,Boues de stations d'épuration (STEP),0.729,0.729
2020,GRAND EST,HAUT RHIN,Boues de stations d'épuration (STEP),0.822,0.822
2021,BOURGOGNE FRANCHE COMTE,SAONE ET LOIRE,Agricole autonome,9.983663,9.983663
2020,CENTRE VAL DE LOIRE,CHER,Installation de stockage des déchets non dangereux (ISDND),15.814,15.814
2020,HAUTS DE FRANCE,PAS DE CALAIS,Agricole autonome,14.231,71.155
2018,CENTRE VAL DE LOIRE,INDRE ET LOIRE,Boues de stations d'épuration (STEP),9.879,9.879
2020,BRETAGNE,FINISTERE,Agricole territorial,16.477,16.477
2017,PAYS DE LA LOIRE,MAINE ET LOIRE,Boues de stations d'épuration (STEP),7.005,7.005
2021,NOUVELLE AQUITAINE,GIRONDE,Déchets ménagers et biodéchets,19.595401000000003,19.595401000000003
2016,GRAND EST,HAUTE MARNE,Agricole territorial,3.231,3.231
2021,BRETAGNE,MORBIHAN,Agricole autonome,3.641764,10.925291999999999
2019,NOUVELLE AQUITAINE,LANDES,Agricole territorial,14.37,14.37
2020,GRAND EST,MEUSE,Agricole autonome,6.767333333333333,20.302
2021,PAYS DE LA LOIRE,MAINE ET LOIRE,Boues de stations d'épuration (STEP),15.200369,15.200369
2020,CENTRE VAL DE LOIRE,CHER,Agricole autonome,12.702000000000002,25.404000000000003
2021,OCCITANIE,GERS,Installation de stockage des déchets non dangereux (ISDND),9.873665,9.873665
2019,OCCITANIE,TARN,Boues de stations d'épuration (STEP),1.554,1.554
2019,AUVERGNE RHONE ALPES,RHONE,Boues de stations d'épuration (STEP),4.707,4.707
2021,PAYS DE LA LOIRE,LOIRE ATLANTIQUE,Agricole autonome,9.59636,19.19272
2020,NORMANDIE,CALVADOS,Agricole territorial,3.918,3.918
2019,HAUTS DE FRANCE,AISNE,Agricole territorial,6.898,13.796
2020,AUVERGNE RHONE ALPES,DROME,Agricole autonome,1.336,1.336
2015,GRAND EST,MOSELLE,Déchets ménagers et biodéchets,2.833,2.833
2017,BRETAGNE,FINISTERE,Boues de stations d'épuration (STEP),1.505,1.505
2019,ILE DE FRANCE,YVELINES,Boues de stations d'épuration (STEP),0.317,0.634
2021,BRETAGNE,COTES D ARMOR,Agricole autonome,5.3772183333333325,16.131655
2021,ILE DE FRANCE,SEINE ET MARNE,Agricole autonome,14.167320399999998,212.50980599999997
2021,GRAND EST,AUBE,Agricole autonome,14.105984999999999,70.52992499999999
2021,CENTRE VAL DE LOIRE,LOIR ET CHER,Agricole territorial,14.026577,14.026577
2018,HAUTS DE FRANCE,NORD,Agricole autonome,7.41,7.41
2021,GRAND EST,VOSGES,Agricole autonome,4.279347,4.279347
2020,NOUVELLE AQUITAINE,DEUX SEVRES,Agricole territorial,5.377,16.131
2017,GRAND EST,AUBE,Agricole territorial,12.3595,24.719
2021,OCCITANIE,PYRENEES ORIENTALES,Boues de stations d'épuration (STEP),4.713662,4.713662
2018,HAUTS DE FRANCE,OISE,Agricole territorial,8.644666666666668,25.934
2019,NOUVELLE AQUITAINE,GIRONDE,Agricole autonome,12.249,24.498
2021,AUVERGNE RHONE ALPES,HAUTE LOIRE,Agricole autonome,7.448368,7.448368
2021,GRAND EST,BAS RHIN,Agricole autonome,14.655999333333334,43.967998
2020,BRETAGNE,MORBIHAN,Agricole autonome,3.5054999999999996,7.010999999999999
2020,ILE DE FRANCE,ESSONNE,Installation de stockage des déchets non dangereux (ISDND),4.186,4.186
2021,HAUTS DE FRANCE,AISNE,Agricole autonome,15.3671942,153.671942
2019,BRETAGNE,MORBIHAN,Industriel territorial,16.953,16.953
2018,BOURGOGNE FRANCHE COMTE,YONNE,Installation de stockage des déchets non dangereux (ISDND),10.863,10.863
2021,NOUVELLE AQUITAINE,GIRONDE,Agricole autonome,22.520372,45.040744
2020,AUVERGNE RHONE ALPES,RHONE,Boues de stations d'épuration (STEP),4.932,4.932
2019,HAUTS DE FRANCE,AISNE,Agricole autonome,8.219333333333333,24.658
2020,NOUVELLE AQUITAINE,CHARENTE,Agricole territorial,1.013,1.013
2021,NORMANDIE,MANCHE,Agricole autonome,6.726633,20.179899
2021,NORMANDIE,EURE,Agricole territorial,8.201934999999999,8.201934999999999
2020,BOURGOGNE FRANCHE COMTE,YONNE,Installation de stockage des déchets non dangereux (ISDND),13.201,13.201
2021,BRETAGNE,COTES D ARMOR,Agricole territorial,3.173105,3.173105
2019,PAYS DE LA LOIRE,MAINE ET LOIRE,Agricole autonome,13.596,13.596
2021,AUVERGNE RHONE ALPES,HAUTE SAVOIE,Agricole autonome,4.3348285,8.669657
2020,GRAND EST,AUBE,Agricole territorial,23.942500000000003,47.885000000000005
2020,BRETAGNE,MORBIHAN,Agricole territorial,11.069,11.069
2018,BRETAGNE,FINISTERE,Boues de stations d'épuration (STEP),5.359,5.359
2021,PAYS DE LA LOIRE,MAYENNE,Agricole territorial,6.244601499999999,12.489202999999998
2020,HAUTS DE FRANCE,NORD,Installation de stockage des déchets non dangereux (ISDND),4.467,4.467
2018,CENTRE VAL DE LOIRE,LOIR ET CHER,Agricole autonome,1.506,1.506
2020,PROVENCE ALPES COTE D AZUR,BOUCHES DU RHONE,Boues de stations d'épuration (STEP),21.295,21.295
2020,AUVERGNE RHONE ALPES,LOIRE,Boues de stations d'épuration (STEP),10.334,10.334
2020,BRETAGNE,FINISTERE,Boues de stations d'épuration (STEP),5.307,5.307
2018,PAYS DE LA LOIRE,MAINE ET LOIRE,Boues de stations d'épuration (STEP),15.259,15.259
2020,HAUTS DE FRANCE,OISE,Agricole autonome,3.3004999999999995,13.201999999999998
2018,GRAND EST,VOSGES,Industriel territorial,0.0,0.0
2013,GRAND EST,MOSELLE,Déchets ménagers et biodéchets,0.311,0.311
2020,PAYS DE LA LOIRE,LOIRE ATLANTIQUE,Agricole territorial,13.331,13.331
2019,HAUTS DE FRANCE,OISE,Agricole territorial,14.99525,59.981
2021,NOUVELLE AQUITAINE,CHARENTE,Agricole territorial,9.429116,9.429116
2020,OCCITANIE,PYRENEES ORIENTALES,Industriel territorial,4.439,4.439
2021,HAUTS DE FRANCE,NORD,Agricole autonome,6.4264073999999995,32.132037
2021,BRETAGNE,MORBIHAN,Industriel territorial,19.558763,19.558763
2021,NOUVELLE AQUITAINE,CORREZE,Agricole autonome,1.114009,1.114009
2020,AUVERGNE RHONE ALPES,LOIRE,Agricole territorial,11.265,11.265
2021,CENTRE VAL DE LOIRE,CHER,Agricole territorial,14.919471,14.919471
2021,GRAND EST,HAUT RHIN,Boues de stations d'épuration (STEP),12.538433000000001,12.538433000000001
2020,PROVENCE ALPES COTE D AZUR,VAUCLUSE,Industriel territorial,7.49,7.49
2020,NOUVELLE AQUITAINE,GIRONDE,Déchets ménagers et biodéchets,7.255,7.255
2020,AUVERGNE RHONE ALPES,HAUTE SAVOIE,Agricole autonome,7.123,7.123
2020,AUVERGNE RHONE ALPES,HAUTE SAVOIE,Agricole territorial,5.797,5.797
2021,CENTRE VAL DE LOIRE,INDRE,Agricole autonome,12.071742666666665,36.215227999999996
2014,HAUTS DE FRANCE,NORD,Déchets ménagers et biodéchets,5.833,5.833
2017,PAYS DE LA LOIRE,VENDEE,Agricole autonome,0.711,0.711
2021,AUVERGNE RHONE ALPES,RHONE,Boues de stations d'épuration (STEP),4.857913,4.857913
2021,OCCITANIE,HAUTE GARONNE,Boues de stations d'épuration (STEP),39.243930999999996,39.243930999999996
2019,GRAND EST,MEUSE,Agricole autonome,6.9544999999999995,13.908999999999999
2020,PAYS DE LA LOIRE,MAYENNE,Agricole territorial,8.854,8.854
2020,PAYS DE LA LOIRE,MAINE ET LOIRE,Agricole autonome,7.297499999999999,14.594999999999999
2019,BOURGOGNE FRANCHE COMTE,SAONE ET LOIRE,Agricole territorial,10.41,10.41
2021,ILE DE FRANCE,YVELINES,Boues de stations d'épuration (STEP),5.9583585,11.916717
2020,HAUTS DE FRANCE,NORD,Agricole territorial,2.58,5.16
2019,HAUTS DE FRANCE,NORD,Agricole autonome,7.719,7.719
2021,HAUTS DE FRANCE,NORD,Agricole territorial,10.285695,20.57139
2013,ILE DE FRANCE,SEINE ET MARNE,Agricole autonome,3.717,3.717
2020,CENTRE VAL DE LOIRE,INDRE ET LOIRE,Boues de stations d'épuration (STEP),9.09,9.09
